7
{"x":-5473.6946805536445,"y":8099.136344713745}
{"x":7784.54302922553,"y":-9616.951078440155}
{"x":-6368.331164915646,"y":-2376.0755245801256}
{"x":2524.107816673657,"y":6838.113942068776}
{"x":-2503.5711717851927,"y":-4454.610400124526}
{"x":-6977.43946698465,"y":421.34940885389915}
{"x":-2873.966597762321,"y":3126.725199628074}
{"x":-9677.581912169302,"y":3391.2799887999918}
{"x":6012.988919748106,"y":-5496.279670708959}
{"x":8159.3299000927655,"y":-7166.336203406223}
{"x":543.2191570681534,"y":-2332.0177405005334}
{"x":7048.247589068349,"y":5532.258323911117}
{"x":-3412.3069341985965,"y":3882.059924238163}
{"x":7312.623107095653,"y":-2647.0021730885683}
{"x":-6920.484640557387,"y":-8747.778612151118}
{"x":-7942.576047023087,"y":7054.206679851799}
{"x":3838.8008218594987,"y":-4593.561038317111}
{"x":7756.236495105819,"y":-3092.6820718890413}
{"x":-4379.080851381496,"y":6888.951923723005}
{"x":-8760.044193816157,"y":5631.341449243142}
{"x":-9159.326207828435,"y":4873.810225218445}
{"x":9113.604843489,"y":5329.907173796199}
{"x":1487.173861540332,"y":2817.610978363633}
{"x":6495.883378628758,"y":8691.893076370594}
{"x":-4263.075040154327,"y":4188.047790985052}
{"x":6272.999058976338,"y":-9230.10452128817}
{"x":-6750.928754773713,"y":-6734.834338355993}
{"x":-8146.471975021963,"y":-5064.495109011095}
{"x":4890.002598129364,"y":-216.37169339506727}
{"x":-710.1350771084199,"y":6494.668409948888}
{"x":-678.0132068271887,"y":-4005.877243146736}
{"x":-864.0437132764728,"y":2119.470673777316}
{"x":-1797.8605083294678,"y":4911.532453684766}
{"x":4315.856328079781,"y":-906.5677519901838}
{"x":8548.110219017726,"y":5444.358782390927}
{"x":2228.667711522623,"y":-7114.2184596539155}
{"x":8061.225364276175,"y":-8801.599305133645}
{"x":7314.748702287983,"y":6631.4817777432945}
{"x":3936.7592326631693,"y":3621.721463216478}
{"x":6561.807046787275,"y":-4314.803919735304}
{"x":-294.00215235183714,"y":2615.740208004656}
{"x":-811.7286854300528,"y":5825.442568656697}
{"x":6599.906339536206,"y":4109.439731060105}
{"x":4066.910506755872,"y":5268.148121867933}
{"x":5816.047737481915,"y":-5026.633788585673}
{"x":8232.253118139946,"y":1486.9215339510374}
{"x":-9905.67278500152,"y":-6422.5667821970055}
{"x":9822.016235257197,"y":-9335.174753250398}
{"x":7165.858017838185,"y":-3317.274566687862}
{"x":-963.2053209129917,"y":1799.5464434650057}
{"x":-3869.365168090406,"y":-4714.477432174344}
{"x":9693.08587213187,"y":-8383.128092345982}
{"x":4772.5817585091645,"y":3508.054239660294}
{"x":2516.6936205708025,"y":-8974.080194199716}
{"x":-1602.364027373973,"y":-3637.2187317290745}
{"x":5151.770788536212,"y":-9637.511507044654}
{"x":5187.728865351688,"y":6268.8519812385875}
{"x":-7302.000550502062,"y":6149.144471829539}
{"x":-7137.953123940557,"y":-3667.0577136421252}
{"x":-8796.029657473082,"y":-2976.4493011521863}
{"x":-3015.4122253600726,"y":3380.1611231122843}
{"x":3622.01076768273,"y":-6128.695995320537}
{"x":-4577.422077414515,"y":-2497.4399412370094}
{"x":7099.026540671002,"y":4266.827708984683}
{"x":-3773.851257464871,"y":-8121.081538033783}
{"x":-607.0336028360398,"y":789.860701000538}
{"x":672.8778523951532,"y":-9503.155097384595}
{"x":1698.3171340448862,"y":688.0332737744084}
{"x":6227.233752046608,"y":-8368.761860172868}
{"x":6116.51924525351,"y":-3091.6002430921944}
{"x":-6117.526439085945,"y":-8224.11552287518}
{"x":-8103.1316870339415,"y":-5255.559738138416}
{"x":-1866.9015295215077,"y":5018.326351157853}
{"x":-147.87862196147762,"y":7603.860297786956}
{"x":-865.1948582600962,"y":-9223.958111347414}
{"x":-2364.483187997015,"y":7334.822579206881}
{"x":-4427.216516940429,"y":-6155.77782749476}
{"x":7035.8801607605965,"y":-1820.1352474773148}
{"x":3886.3851661929275,"y":-8431.557832121867}
{"x":3640.1084970637057,"y":-8616.52127400273}
{"x":-734.0706878037436,"y":-8690.409304870516}
{"x":-2452.3255368169857,"y":-8752.967381466806}
{"x":-165.62569930908649,"y":-4174.032335338751}
{"x":7935.182216553716,"y":1623.8474195232684}
{"x":6588.4610353635035,"y":-3610.3720727243153}
{"x":-532.1190103834979,"y":-2395.39963989857}
{"x":-2799.082064905938,"y":7532.838912517316}
{"x":-5417.621285096743,"y":-310.1645077083231}
{"x":-2892.750012018164,"y":419.8082115778925}
{"x":5308.843296477777,"y":1303.3411585820631}
{"x":-372.6778748708439,"y":4959.7854564536865}
{"x":-6679.5696957629925,"y":-8503.915467177865}
{"x":3452.7538729630105,"y":-4983.685818620225}
{"x":-7868.714467920506,"y":-8116.528436202241}
{"x":-4284.028777547089,"y":-3298.3722428994834}
{"x":4473.528108289453,"y":-2810.569546417496}
{"x":-1431.1668039110882,"y":8383.248929036665}
{"x":-9061.999932651235,"y":6752.928391961257}
{"x":-7104.463259516422,"y":-1216.8513079173135}
{"x":244.06478257153503,"y":-2996.978938426895}
{"x":2881.722599239167,"y":-6044.203050194949}
{"x":5428.937157101473,"y":9505.722843914147}
{"x":-2521.9082431054176,"y":681.2902084095604}
{"x":-7825.073179435451,"y":9505.318367812459}
{"x":-3750.2491807620263,"y":-5134.961135039355}
{"x":3674.3859130469864,"y":2575.1623705085476}
{"x":9174.720484473983,"y":-1961.486943344681}
{"x":-6107.931909366189,"y":5021.592580548608}
{"x":-5954.111953478394,"y":7138.951702277311}
{"x":-6032.22837310688,"y":8595.89877235554}
{"x":-5495.782516839256,"y":2590.6731943672876}
{"x":-1435.6285175975936,"y":-7638.817705760776}
{"x":3011.148030758697,"y":1787.5507100631112}
{"x":-5618.428685628199,"y":-6260.145849978083}
{"x":3939.919715572678,"y":-8272.394101907756}
{"x":-7136.676968317095,"y":-7459.494172185312}
{"x":2843.2323334148787,"y":-3120.7653038321732}
{"x":-6046.319894053564,"y":-2445.9256476848877}
{"x":1974.1328344519407,"y":5471.656668686213}
{"x":6346.231015745809,"y":1268.3004913259138}
{"x":-8466.290014500817,"y":2174.5201289420274}
{"x":4835.802067505323,"y":9809.805677914217}
{"x":-9633.868511060753,"y":-9865.308860456998}
{"x":5454.969384889295,"y":5228.446081343656}
{"x":-4459.961371832608,"y":-6689.920333500619}
{"x":9982.65192311104,"y":-1631.1687188383385}
{"x":5343.766778930996,"y":-5916.441975571755}
{"x":-1835.6973686168221,"y":-3219.0482134184585}
{"x":7804.934706831344,"y":7460.4207471489135}
{"x":5886.12681331657,"y":7540.662032732918}
{"x":-3099.108718137786,"y":9515.170042310274}
{"x":-6100.021556819183,"y":5098.613571695081}
{"x":266.8188341384266,"y":1596.4967515979752}
{"x":-8967.554569819727,"y":-9676.401886998232}
{"x":-6690.753628215644,"y":6592.036365550794}
{"x":8648.87459068467,"y":2108.8299191302904}
{"x":-8512.61905624231,"y":7632.35236106989}
{"x":5007.348128809632,"y":-6612.831499932901}
{"x":2272.425196553966,"y":-505.0899788120296}
{"x":4662.08574533158,"y":-2801.008722265623}
{"x":-7790.267736968055,"y":-286.64644720464094}
{"x":-4966.863678070954,"y":831.802975485738}
{"x":-147.11686174290662,"y":2737.5137294706383}
{"x":-4186.741444605675,"y":4359.443633885334}
{"x":7788.3584955745355,"y":9401.915464799251}
{"x":14.754158039393587,"y":3105.4195417382525}
{"x":1550.647376289864,"y":-3309.258627861138}
{"x":605.8982009549491,"y":403.82225283083426}
{"x":4210.369918940376,"y":-9093.816794705013}
{"x":8966.346297236109,"y":4263.69069295091}
{"x":-1595.8302644147861,"y":-3157.511650634555}
{"x":-6899.12617836169,"y":3449.6594036098995}
{"x":8724.52896334614,"y":-8514.739012992539}
{"x":-4691.120090696026,"y":2048.226788641703}
{"x":2360.1694480551632,"y":-5940.268012585717}
{"x":-8801.19034211219,"y":-7729.405251791919}
{"x":4492.740858935236,"y":9044.30188333886}
{"x":-7705.433311678565,"y":-5089.89971258343}
{"x":560.246861764721,"y":-933.9404344399154}
{"x":-2216.4916402243316,"y":1465.8562924028265}
{"x":-2487.215672703609,"y":-4885.989911652347}
{"x":-1450.06393293564,"y":7585.167942465254}
{"x":-2373.155838777916,"y":-9655.187393513772}
{"x":5381.813291466966,"y":-9139.466000298386}
{"x":-4007.183338555489,"y":-5497.172666180401}
{"x":-5632.744911007512,"y":2380.941684273994}
{"x":1133.3825121702776,"y":2161.8104632356535}
{"x":4119.616429281339,"y":6425.09331096528}
{"x":7121.520476765956,"y":4145.107524287772}
{"x":-1946.1499606120778,"y":5088.260439639531}
{"x":-4356.672477893076,"y":9144.430096199263}
{"x":3283.0244323494444,"y":-284.7432812137704}
{"x":6339.189371839966,"y":-4203.612315128819}
{"x":-1771.6330729930596,"y":-8976.309610252163}
{"x":7558.521843535997,"y":3370.538829068504}
{"x":4559.617238328767,"y":-6245.928866646229}
{"x":-797.1801502881062,"y":7408.221215502581}
{"x":-4863.986535168474,"y":6961.507208677413}
{"x":2097.104178612133,"y":8792.236277793694}
{"x":-877.1322716491977,"y":-6325.232554875988}
{"x":-6128.835834078111,"y":7635.6734105619325}
{"x":8555.99632186277,"y":1474.6063584124204}
{"x":3147.9500937591856,"y":-5385.110742037298}
{"x":6755.230026894555,"y":-6571.087755278373}
{"x":-217.7349845202807,"y":8786.506499658924}
{"x":-2729.784343738479,"y":9735.19105288131}
{"x":504.96029438765436,"y":-1083.9770157965268}
{"x":-9597.688394536368,"y":-1188.2733689841025}
{"x":-6502.595179542035,"y":4880.863191839382}
{"x":9583.725058662712,"y":-2839.61355527683}
{"x":-1786.4834454242082,"y":6753.748288170082}
{"x":-6848.464622872206,"y":-7792.566701726984}
{"x":-3749.0586782097316,"y":-6694.253879092466}
{"x":3359.5478635255495,"y":-1944.029423355285}
{"x":-2983.5755803546535,"y":9909.162370486243}
{"x":7335.9640034819495,"y":963.4936671496016}
{"x":1033.4188431640796,"y":3830.224790415028}
{"x":8301.09433341911,"y":-6876.895928301494}
{"x":-3778.9444440217703,"y":5718.606046628463}
{"x":-5153.188606396184,"y":-2562.560553158568}
{"x":-841.5084994793997,"y":-1172.1312312600567}
{"x":-9569.88958463615,"y":-6811.874442477592}
{"x":-605.0676332700605,"y":4646.428723327534}
{"x":9954.613582045815,"y":8886.976510845267}
{"x":7864.634159472753,"y":-7698.130741374201}
{"x":-2001.9082173607776,"y":9119.51407302087}
{"x":-8894.90084221431,"y":-5416.069593683365}
{"x":6719.24122739134,"y":-7865.2860214509055}
{"x":-6251.704134834768,"y":-8815.10681423455}
{"x":7013.168950053696,"y":2060.8830215386333}
{"x":1814.6153716112476,"y":6951.4920646484825}
{"x":-1605.283312880345,"y":2042.8667379310336}
{"x":-8096.239284233533,"y":-4512.879508795633}
{"x":9452.737428543289,"y":3708.577981546039}
{"x":-7422.527546275716,"y":7592.0261454440515}
{"x":2825.8750555701536,"y":9542.158643252162}
{"x":-7115.801737287704,"y":4843.2084110179585}
{"x":-8314.876424459058,"y":-8732.595349893487}
{"x":8085.259325832263,"y":6119.508425720725}
{"x":8657.997452545504,"y":221.15272328039828}
{"x":5383.339904626158,"y":-3698.9856199326377}
{"x":-5172.4861065585,"y":-8424.542773254543}
{"x":-6104.447185193389,"y":-1102.0822702595524}
{"x":-9768.301704592439,"y":5384.076210309588}
{"x":2802.9270610470576,"y":6899.719243134703}
{"x":1597.3660866190276,"y":6127.952131266304}
{"x":1610.1069416615373,"y":-8977.650876887337}
{"x":-9942.809883740307,"y":6182.430971896532}
{"x":2592.8243566432193,"y":1045.6547303804255}
{"x":-9150.427554257029,"y":9657.261496977244}
{"x":-7319.258098184507,"y":-5949.058809859173}
{"x":-518.4532265297476,"y":-4940.439629903109}
{"x":-2482.2005850516352,"y":-3197.96947213324}
{"x":5594.7598899355235,"y":1855.5116631111268}
{"x":3338.29372946866,"y":6740.28689590923}
{"x":-823.9727236737908,"y":-4757.802778380979}
{"x":7696.519675433985,"y":8152.7145456391045}
{"x":4268.022857727694,"y":-4261.136624580304}
{"x":-8293.565881484748,"y":5067.580530630739}
{"x":3469.5935149436336,"y":-8366.849719387652}
{"x":-2518.255480951637,"y":-6415.363439206714}
{"x":-6869.228667914966,"y":2432.194263041534}
{"x":-6397.922881035478,"y":-9264.626539101411}
{"x":-1180.5533475886805,"y":-9468.296675034724}
{"x":-3848.423682194677,"y":7027.610899870968}
{"x":9692.624963411079,"y":8533.462135384267}
{"x":-373.41308072275024,"y":-7713.228679511887}
{"x":-7655.514804798957,"y":2778.567384209684}
{"x":-1710.5121236488703,"y":-645.2035283783225}
{"x":9974.71191785673,"y":1766.3146028823521}
{"x":-1649.339472370113,"y":-5388.577722686223}
{"x":5409.269007719695,"y":-3360.405414704682}
{"x":7885.953287764627,"y":6372.769725173977}
{"x":5886.7825635172885,"y":6610.952778857878}
{"x":-2936.9555142172876,"y":1218.2316502747835}
{"x":7301.240622884929,"y":-9758.173787146141}
{"x":-1278.0737549365604,"y":-4524.762956678778}
{"x":580.9102529051288,"y":5010.974406248402}
{"x":-7884.616003700624,"y":-2055.0662983922048}
{"x":4094.2349532348762,"y":2211.481778995234}
{"x":9886.923835287318,"y":-1171.0333847819202}
{"x":5675.702851489197,"y":2693.2174456336797}
{"x":3494.1890888112266,"y":-6295.075998531085}
{"x":-4261.96737582764,"y":-9650.672420997491}
{"x":1320.2730827826454,"y":-4646.716931091328}
{"x":-9379.611635299556,"y":-634.3984998218857}
{"x":-3455.4007064109983,"y":-4457.420227708544}
{"x":-7448.973496377899,"y":-8832.720014283525}
{"x":-5741.7841122520595,"y":-3370.587190139052}
{"x":-9214.420458166584,"y":303.0677422286044}
{"x":-9165.12243063113,"y":-8240.74501888101}
{"x":-6550.883710926028,"y":-6374.1526677713155}
{"x":8143.967212682233,"y":-1669.8157718755137}
{"x":-5585.128178247891,"y":-2267.452269059787}
{"x":7372.921271404641,"y":-1654.2198798686877}
{"x":5572.022116713195,"y":4279.345024273134}
{"x":5110.751730160728,"y":2703.8578755361286}
{"x":-5348.427776513578,"y":2110.5388647805084}
{"x":-4766.869144079317,"y":-2473.4190042260716}
{"x":9686.635590154616,"y":-11.240035854389134}
{"x":8005.554285508442,"y":-5540.423349254571}
{"x":2674.998899261758,"y":7423.0472885974705}
{"x":5328.299449632605,"y":8673.429991094978}
{"x":-9559.705173060176,"y":5430.396524703367}
{"x":2104.200071425248,"y":-8330.233298711746}
{"x":-1985.1330893641125,"y":-9226.373943509898}
{"x":8359.108485435365,"y":-7500.86797262399}
{"x":-5222.545871038468,"y":4550.489603315644}
{"x":7395.962647140281,"y":-191.97540672620562}
{"x":2412.9424359867007,"y":-6697.263889033085}
{"x":1254.1780931635913,"y":-7573.0999869234965}
{"x":6213.378905151465,"y":558.9653219517095}
{"x":648.9752808896174,"y":5084.391912993844}
{"x":4187.951533595142,"y":-32.901375664505395}
{"x":4000.9240873256567,"y":-8069.10620049699}
{"x":-1382.2950754709764,"y":-9717.15876151571}
{"x":-4920.909659983044,"y":8638.011988483646}
{"x":-8507.17130010976,"y":7037.34169843137}
{"x":-8423.986831160035,"y":-3193.5900591179143}
{"x":7294.4514362074915,"y":7889.026948376129}
{"x":6605.399361296713,"y":-3905.346967786194}
{"x":-2302.7407928977127,"y":-1699.6220362464137}
{"x":97.84891350237558,"y":-332.1006262109531}
{"x":9838.778052478749,"y":2420.3302312121978}
{"x":-7987.491237699347,"y":-8064.678496840458}
{"x":2446.1138525498136,"y":-7119.067735183584}
{"x":-2581.2991065672677,"y":153.69408773155374}
{"x":1475.0293764975704,"y":1402.6607349789247}
{"x":1514.3150019174936,"y":8541.217753108049}
{"x":-315.398397037623,"y":-6595.3213790655445}
{"x":3924.997676356177,"y":-6658.431974264092}
{"x":2028.0245289993927,"y":9082.14061332634}
{"x":-3114.9888182682826,"y":3853.6052208149813}
{"x":5390.244406065636,"y":-2815.976889634786}
{"x":-6973.034743223148,"y":2157.913393284083}
{"x":2832.140843814117,"y":-3113.5603994037965}
{"x":-8224.681223069058,"y":-6750.925396929335}
{"x":1956.3100969629195,"y":-2116.0303135441154}
{"x":-2262.8101338203523,"y":8714.60500706239}
{"x":6052.524487822835,"y":-1961.5138729843575}
{"x":6221.624330432822,"y":-6538.6946299011115}
{"x":-5211.035507614203,"y":2593.00913816946}
{"x":-7726.151222277347,"y":2202.8438642854835}
{"x":-9873.951794250996,"y":7933.216222218001}
{"x":-4994.803348546382,"y":6903.898440488541}
{"x":-7288.099743585286,"y":1992.3724679252027}
{"x":9518.416256535009,"y":-9553.928548595937}
{"x":9371.553312334541,"y":8977.042874803243}
{"x":-9086.180967003354,"y":5198.7125237619275}
{"x":4322.093995874357,"y":-2935.084179525742}
{"x":4115.495502447362,"y":-2084.040563956586}
{"x":-3213.4112982675233,"y":2219.268433207759}
{"x":5418.274131511331,"y":7938.905249825046}
{"x":3525.5049962661305,"y":-3397.7802775407336}
{"x":4453.863881758298,"y":8515.316891330709}
{"x":-2435.7696433122264,"y":-9014.62806948626}
{"x":-6845.017802560125,"y":5977.198132947849}
{"x":9157.30685203625,"y":5083.472412621697}
{"x":-7416.982881958061,"y":400.3324517904239}
{"x":-3427.3902291153145,"y":-878.5422541756143}
{"x":-3665.766519390745,"y":2114.0262771930466}
{"x":4231.378751786147,"y":6437.797818133255}
{"x":9155.191839603907,"y":4313.670506698461}
{"x":7063.082735715416,"y":1985.9552591916945}
{"x":2883.0591802908184,"y":-7993.829492121069}
{"x":-9745.610122664653,"y":-7326.929402147318}
{"x":9412.249626706303,"y":3200.9661454000543}
{"x":1141.3738011074984,"y":-8558.4187744017}
{"x":-8127.494631727485,"y":-939.6562063119545}
{"x":-7615.6734531757775,"y":7371.2700568517685}
{"x":4049.7372436031837,"y":-6224.4471207744455}
{"x":-365.2262376122035,"y":8939.33900102516}
{"x":-8147.329292693239,"y":6544.449505660301}
{"x":-1387.6808388026784,"y":-3764.7550180325525}
{"x":-5759.152730229067,"y":-8022.931875373265}
{"x":6263.863799518442,"y":-9346.450946963729}
{"x":-2080.3956863822013,"y":-7445.656854196368}
{"x":-8323.984606002752,"y":-889.1761209701017}
{"x":7833.637672808913,"y":-2487.6691633523615}
{"x":2431.4601513191064,"y":-5609.170358053088}
{"x":6152.003604328935,"y":385.64731667682645}
{"x":1995.5316171988707,"y":8006.588747885773}
{"x":5018.356708244088,"y":-19.14156941290821}
{"x":9274.214833593749,"y":643.9008720948932}
{"x":-842.6648936474867,"y":1401.6149829776186}
{"x":-4061.605124621219,"y":8584.90567793902}
{"x":2904.026824549952,"y":5503.290477494769}
{"x":2490.757544792834,"y":-4046.8317888397623}
{"x":-4267.318900219066,"y":-7780.011600690757}
{"x":3007.942169300366,"y":1711.8376414123722}
{"x":-9196.585836495187,"y":8616.807268520533}
{"x":-3671.7814286389475,"y":-296.7893553657341}
{"x":-5579.319405741361,"y":-8582.657363981776}
{"x":803.5140107200896,"y":5951.699531241751}
{"x":1859.8488795106732,"y":-982.810691876377}
{"x":-7493.137104409823,"y":6411.19034096627}
{"x":1776.2145307312621,"y":-585.7512365087277}
{"x":9269.23867539267,"y":-4258.055052759024}
{"x":-98.23132109280596,"y":-5075.682055234159}
{"x":511.91468652843105,"y":9965.38511661832}
{"x":3289.631131102473,"y":-8772.734742106624}
{"x":-3718.098435702337,"y":-9079.761247526645}
{"x":-170.756992944167,"y":-7360.2342056299585}
{"x":8581.799118552994,"y":3420.2626763745284}
{"x":-1614.9834910535883,"y":8846.657225399198}
{"x":384.80865348553016,"y":1752.7576947044963}
{"x":5616.195151771786,"y":-6877.069550644734}
{"x":742.3546305665132,"y":-4686.7271918199285}
{"x":1274.5913191729687,"y":9686.372285983904}
{"x":-1890.9902862285999,"y":-9145.765311565168}
{"x":-8367.507108403684,"y":-8601.614175678618}
{"x":4925.1016675866595,"y":1631.4780127369613}
{"x":-7352.086650046667,"y":-7753.522249643325}
{"x":3774.7334816716084,"y":-2291.449567008237}
{"x":8176.656310905095,"y":-1300.9755490148218}
{"x":3209.152335912351,"y":-3293.4873585560663}
{"x":-9494.637884288186,"y":4437.01720114347}
{"x":7484.478652468744,"y":-4612.209638683331}
{"x":5526.174944227758,"y":-1305.4062796480157}
{"x":4169.490072929862,"y":5022.631645849824}
{"x":-9211.127454367852,"y":-3947.9845987012577}
{"x":-7436.3387170815695,"y":-8737.353996907948}
{"x":6676.368544625006,"y":5549.240220240899}
{"x":-5643.967833088051,"y":-2359.0461257206343}
{"x":-4868.55905351871,"y":9116.470908552787}
{"x":7955.231186174788,"y":-5893.376830357831}
{"x":-4932.15711075921,"y":-3612.517279547942}
{"x":-3174.9630011413756,"y":-7152.4646172207995}
{"x":-8780.181729093068,"y":-6796.524972086963}
{"x":-3595.099640593804,"y":-3371.7491844168526}
{"x":1996.2084662870948,"y":-7041.900047341125}
{"x":61.682384050387554,"y":-9285.65632881588}
{"x":-5091.519333298056,"y":7552.857104922365}
{"x":-8441.053174738747,"y":3586.6988219961113}
{"x":-1921.9724201508907,"y":-7724.360163614779}
{"x":7451.855247958458,"y":7622.16915912375}
{"x":4068.9443941265035,"y":5886.170560407751}
{"x":-9951.892897875436,"y":-1231.038886155773}
{"x":4948.434146769754,"y":8278.036658015117}
{"x":-7805.313066749926,"y":-4193.138945575163}
{"x":5004.623140289721,"y":-9259.149922069322}
{"x":-3717.2332815667523,"y":457.5753638534188}
{"x":-4104.5088185971945,"y":8732.163110587997}
{"x":-8238.12646677037,"y":-8926.79986295171}
{"x":134.65632709824786,"y":-2013.355162545873}
{"x":4304.686508862671,"y":-3408.5025990031754}
{"x":-7310.520228981639,"y":-7165.301111309393}
{"x":-595.2820685456682,"y":7275.19663191717}
{"x":-9986.16838897519,"y":6725.756452520374}
{"x":7732.4915385027925,"y":428.3867758213255}
{"x":5837.44138335629,"y":8478.217047359438}
{"x":356.35562372926324,"y":-9566.019158417386}
{"x":-5756.122613105874,"y":7427.039687629138}
{"x":-7709.971343302939,"y":7474.57367440591}
{"x":-4051.341741068437,"y":1671.25775910855}
{"x":-7041.881522697328,"y":-1391.503823627856}
{"x":811.8712734309865,"y":161.81948737802122}
{"x":-317.8636271821997,"y":8996.791998600529}
{"x":5675.535488026451,"y":-8800.939600894615}
{"x":-4221.468480977231,"y":8717.831586553526}
{"x":3301.49107589057,"y":-4583.73199080484}
{"x":-1486.1450757848634,"y":-812.4765040111324}
{"x":549.7857297813152,"y":8806.48203854241}
{"x":3473.374680078774,"y":-9885.897288705903}
{"x":-5937.159077214107,"y":2482.197418892478}
{"x":273.4730244022903,"y":-723.0577953703123}
{"x":-9502.778709831866,"y":-170.71707964393136}
{"x":85.1036572270641,"y":1934.5677887983456}
{"x":5747.775159503586,"y":-718.1449244179494}
{"x":-2907.4223755655266,"y":5270.142660312751}
{"x":756.9431389036145,"y":3693.8254666175835}
{"x":-7337.14244030283,"y":-2155.8294539692624}
{"x":8768.226123317807,"y":-5841.5674174792275}
{"x":8096.734681509919,"y":4068.21490291229}
{"x":-1488.3045590790698,"y":1799.316469216894}
{"x":-1169.6406065788105,"y":5535.453163834709}
{"x":5971.621549959627,"y":-3028.351498246544}
{"x":-6179.882584328207,"y":-1128.3736824735442}
{"x":5987.301606630788,"y":-3869.1048921781476}
{"x":9152.76751519915,"y":-7528.460306195415}
{"x":-5330.666892952558,"y":2503.5722166196647}
{"x":-8599.702703040162,"y":-797.7495278395818}
{"x":5780.845447435839,"y":6452.797532173361}
{"x":-4019.576228450057,"y":8514.190659336262}
{"x":-4637.976690476066,"y":-2183.979759596553}
{"x":-8419.999835886323,"y":9773.150835635883}
{"x":2900.8887596665663,"y":-8415.261860454442}
{"x":1352.0959018150115,"y":9495.60415889934}
{"x":-9635.563412359015,"y":-1234.7815946434548}
{"x":-7992.775585731038,"y":-262.06563631993413}
{"x":-9596.164783680753,"y":-3105.3300290502084}
{"x":2603.327167297093,"y":-3831.287097689935}
{"x":907.9064527092669,"y":-3042.82941661965}
{"x":9266.973030854882,"y":5971.274213349283}
{"x":3854.540220895082,"y":2821.6718862034304}
{"x":6576.2590389388315,"y":-4469.290685581437}
{"x":1691.1893800006237,"y":3056.8940435292207}
